Close,Date,DatePart,Day_High,Day_Low,High,Hour,Long_Count,Low,Minute,Open,Order_Price,Order_Signal,Order_Status,Profit,Short_Count,Stop_Loss,Target,Trade_Count,Year
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,349.15,Buy,Exit,0.0,0.0,346.7,351.9,0.0,2019
348.95,2019-08-30 11:40:00,2019-08-30,0.0,0.0,349.15,11,0.0,346.7,40,346.8,346.7,Sell,Exit,0.0,0.0,349.15,344.7,0.0,2019
